MatterID,Status,CaseSequenceNumber
22134512T,Open,16-2021-SC-030886-XXXX-MA
22134514T,Open,16-2021-SC-030801-XXXX-MA
22134545,Open,16-2021-SC-031102-INSX-MA
22134554J,Open,2021-SC-019505-XXXX-MA
22134561J,Open,16-2021-SC-019428-XXXX-MA
22134563,Open,16-2021-SC-019427-XXXX-MA
22134565J,Open,16-2021-SC-019506-XXXX-MA
22134628J,Open,2021-SC-032002-INSX-MA
22134631J,Open,16-2021-SC-031711-INSX-MA
22134680J,Open,2021-SC-032671-INSX-MA
22134695J,Open,2021-SC-031723-INSX-MA
22134720,Open,16-2021-SC-031721-INSX-MA
22200074J,Open,16-2021-SC-034058-INSX-MA
22200159J,Open,2021-SC-032892-INSX-MA
22200162,Open,2021-CA-006772
22200185,Open,16-2021-SC-033260-INSX-MA
22200209J,Open,16-2021-SC-033997-INSX-MA
22200231,Open,2021-SC-033972-INSX-MA
22200232R,Open,16-2021-SC-033288-INSX-MA
22200240J,Open,16-2021-SC-032193-INSX-MA
22200444R,Open,2021-SC-032826-INSX-MA
22200478,Open,16-2021-SC-033843-INSX-MA
22200536J,Open,16-2022-SC-000164-INSX-MA
22200562,Open,16-2021-SC-034775-INSX-MA
22200574R,Open,16-2021-SC-035488-INSX-MA
22200591T,Open,16-2021-SC-035461-INSX-MA
22200604J,Open,16-2021-SC-034911-INSX-MA
22200619J,Open,16-2022-SC-000132-INSX-MA
22200669,Open,16-2022-SC-001323-INSX-MA
22200676R,Open,16-2022-SC-000641-INSX-MA
22200735,Open,16-2022-SC-000349-INSX-MA
22200753,Open,16-2022-SC-001932-INSX-MA
22200771,Open,16-2022-CA-000587-XXXX-MA
22200777J,Open,16-2022-SC-001606-INSX-MA
22200919,Open,16-2022-SC-002254-INSX-MA
22200951J,Open,16-2022-SC-001358-INSX-MA
22200966J,Open,16-2021-SC-029707-XXXX-MA
22200971T,Open,16-2022-SC-002476-INSX-MA
22200993R,Open,16-2022-SC-001929-INSX-MA
22200995T,Open,16-2022-SC-002500-INSX-MA
22201014,Open,16-2022-SC-001907-INSX-MA
22201152,Open,16-2022-CA-000899-XXXX-MA
22201191R,Open,16-2022-SC-002523-INSX-MA
22201226,Open,16-2022-CA-000760-XXXX-MA
22201237,Open,16-2022-SC-002906-INSX-MA
22201274R,Open,16-2022-SC-002325-INSX-MA
22201298,Open,16-2022-SC-003534-INSX-MA
22201363T,Open,16-2022-SC-002125-INSX-MA
22201430R,Open,16-2022-SC-002121-INSX-MA
22201590T,Open,16-2022-SC-004547-INSX-MA
22201737,Open,16-2022-SC-004791-INSX-MA
22201742,Open,2022-CA-001504-XX-DOCMA
22201752J,Open,16-2022-SC-004434-INSX-MA
